CountryName,TotalPop,pop_over_65,HosRate,mortality
Slovakia,5448000,15.6292465,0.151741346,0.050580449
Slovenia,2067000,19.60687965,0.190359421,0.06345314
Somalia,15893000,2.873310943,0.027896423,0.009298808
South Africa,59309000,5.318005005,0.051631487,0.017210496
South Sudan,11194000,3.39848288,0.032995216,0.010998405
Spain,46711000,19.37850752,0.1881422,0.062714067
Sri Lanka,21837000,10.47321975,0.101682475,0.033894158
Sudan,43849000,3.581160528,0.034768798,0.011589599
Suriname,587000,6.906369902,0.067052616,0.022350872
Sweden,10319000,20.09552493,0.195103584,0.065034528
Switzerland,8641000,18.62321656,0.180809225,0.060269742
Syria,17501000,4.503124421,0.043719968,0.014573323
Tanzania,59734000,2.601299178,0.025255513,0.008418504
Thailand,69800000,11.90089314,0.115543481,0.038514494
Timor-Leste,1318000,4.316492294,0.041907993,0.013969331
Togo,8279000,2.869468011,0.027859113,0.009286371
Trinidad and Tobago,1399000,10.73495352,0.104223598,0.034741199
Tunisia,11819000,8.315679079,0.080735328,0.026911776
Turkey,84339000,8.48321294,0.082361882,0.027453961
Uganda,45741000,1.94098692,0.018844668,0.006281556
Ukraine,44158000,16.43468644,0.159561208,0.053187069
United Arab Emirates,9890000,1.085000985,0.010534066,0.003511355
United Kingdom,67224000,18.39586567,0.178601919,0.059533973
Uruguay,3474000,14.81451953,0.143831319,0.047943773
US,331915000,15.80765406,0.153473471,0.051157824
Uzbekistan,33749000,4.419137878,0.042904559,0.01430152
Venezuela,28436000,7.26698662,0.070553774,0.023517925
Vietnam,97339000,7.274978298,0.070631364,0.023543788
West Bank and Gaza,4813000,3.133305737,0.030420662,0.010140221
Yemen,29826000,2.876269756,0.027925149,0.009308383
Zambia,18384000,2.099678026,0.02038537,0.006795123
Zimbabwe,14863000,2.939523653,0.028539269,0.00951309
Lamu,25242,,,
Basuba,1479,,,
Pate Island,17428,,,
Ndau,786,,,
Kiwayu,547,,,
Lamu Island,28032,,,
Mokowe Hindi Mkunumbi,31946,,,
Mpeketoni,38341,,,
Witu,23343,,,
