CountryName,TotalPop,pop_over_65,0to64,65to79,over80,beta1_mid,beta2_mid,gamma1_mid,gamma2_mid,gamma3_mid,hosp_rate_mid,sympt_rate_mid,delta_mid,beta1_min,beta2_min,gamma1_min,gamma2_min,gamma3_min,hosp_rate_min,sympt_rate_min,delta_min,beta1_max,beta2_max,gamma1_max,gamma2_max,gamma3_max,hosp_rate_max,sympt_rate_max,delta_max
Switzerland,8641000,18.62321656,81.37678344,14.64291847,3.980298089,,,,,,,,,,,,,,,,,,,,,,,,
Syria,17501000,4.503124421,95.49687558,3.813226605,0.689897816,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,59734000,2.601299178,97.39870082,2.405565362,0.195733816,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,69800000,11.90089314,88.09910686,9.825212566,2.075680574,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,1318000,4.316492294,95.68350771,3.858509665,0.457982629,,,,,,,,,,,,,,,,,,,,,,,,
Togo,8279000,2.869468011,97.13053199,2.633397316,0.236070695,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,1399000,10.73495352,89.26504648,9.305658134,1.429295386,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,11819000,8.315679079,91.68432092,6.883816379,1.4318627,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,84339000,8.48321294,91.51678706,7.224976845,1.258236095,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,45741000,1.94098692,98.05901308,1.805508725,0.135478195,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,44158000,16.43468644,83.56531356,14.06418363,2.370502813,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,9890000,1.085000985,98.91499902,0.987311595,0.09768939,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,67224000,18.39586567,81.60413433,14.25786368,4.138001989,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,3474000,14.81451953,85.18548047,12.10113595,2.713383584,,,,,,,,,,,,,,,,,,,,,,,,
US,331915000,15.80765406,84.19234594,12.7074376,3.100216455,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,33749000,4.419137878,95.58086212,3.79091695,0.628220928,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,28436000,7.26698662,92.73301338,6.224136333,1.042850287,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,97339000,7.274978298,92.7250217,5.995962045,1.279016253,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,4813000,3.133305737,96.86669426,2.787366339,0.345939398,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,29826000,2.876269756,97.12373024,2.592641899,0.283627857,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,18384000,2.099678026,97.90032197,1.944991512,0.154686514,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,14863000,2.939523653,97.06047635,2.694550423,0.24497323,,,,,,,,,,,,,,,,,,,,,,,,
Lamu,25242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basuba,1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pate Island,17428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndau,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiwayu,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamu Island,28032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mokowe Hindi Mkunumbi,31946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mpeketoni,38341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Witu,23343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
